#
#	Japanese NetHack Copyright (c) Issei Numata 2000
#	For 3.4, (c) Kentaro Shirakata 2003-2009
#	For UnNetHack 3.5 Copyright (c) Masaki Miyaso, 2009
#	JNetHack may be freely redistributed.  See license for details. 
#
#	English -> Japanese objects transfer table
#
#	missiles
#
)arrow:			矢:
)elven arrow:		エルフの矢:
)runed arrow:		神秘的な矢:
)orcish arrow:		オークの矢:
)crude arrow:		粗末な矢:
)silver arrow:		銀の矢:
)crossbow bolt:		クロスボゥボルト:
)bamboo arrow:		竹の矢:
)dart:			投げ矢:
)shuriken:		手裏剣:
)throwing star:		星型の投げるもの:
)boomerang:		ブーメラン:
)spear:			槍:
)elven spear:		エルフの槍:
)runed spear:		神秘的な槍:
)orcish spear:		オークの槍:
)crude spear:		粗末な槍:
)dwarvish spear:	ドワーフの槍:
)stout spear:		丈夫な槍:
)silver spear:		銀の槍:
)javelin:		ジャベリン:
)throwing spear:	投げ槍:
)trident:		トライデント:
)lance:			ランス:
)dagger:		短剣:
)elven dagger:		エルフの短剣:
)runed dagger:		神秘的な短剣:
)orcish dagger:		オークの短剣:
)silver dagger:		銀の短剣:
)crude dagger:		粗末な短剣:
)athame:		アサメ:
)scalpel:		メス:
)knife:			ナイフ:
)stiletto:		スティレット:
)worm tooth:		ワームの歯:
)crysknife:		クリスナイフ:
)dwarvish mattock:	ドワーフのつるはし:
)broad pick:		幅広のつるはし:
)heavy pick:		重いつるはし:
)axe:			斧:
)battle-axe:		戦斧:
)double-headed axe:	両刃の斧:
)short sword:		小剣:
)elven short sword:	エルフの小剣:
)runed short sword:	神秘的な小剣:
)orcish short sword:	オークの小剣:
)crude short sword:	粗末な小剣:
)dwarvish short sword:	ドワーフの小剣:
)broad short sword:	幅広の小剣:
)scimitar:		シミター:
)curved sword:		曲った剣:
)silver saber:		銀のサーベル:
)broadsword:		幅広の剣:
)elven broadsword:	エルフの幅広の剣:
)runed broadsword:	神秘的な幅広の剣:
)long sword:		長剣:
)two-handed sword:	両手剣:
)katana:		刀:
)samurai sword:		侍の剣:
)tsurugi:		大刀:
)long samurai sword:	侍の長剣:
)runesword:		ルーンの剣:
)partisan:		パルチザン:
)vulgar polearm:	粗雑な長斧:
)ranseur:		ランサー:
)hilted polearm:	柄付の長斧:
)spetum:		スペタム:
)forked polearm:	フォーク付き長斧:
)glaive:		グレイブ:
)single-edged polearm:	片刃長斧:
)halberd:		ハルバード:
)angled poleaxe:	曲ったまさかり:
)bardiche:		バーディック:
)long poleaxe:		長いまさかり:
)voulge:		ヴォウジェ:
)pole cleaver:		包丁付き竿:
)fauchard:		フォシャール:
)pole sickle:		鎌付き竿:
)guisarme:		ギザルム:
)pruning hook:		刈り込みがま:
)bill-guisarme:		ビル・ギザルム:
)hooked polearm:	鈎付き長斧:
)lucern hammer:		ルッツェルンハンマー:
)pronged polearm:	二股の長斧:
)bec de corbin:		ベック・ド・コルバン:
)beaked polearm:	くちばし付き長斧:
)mace:			メイス:
)morning star:		モーニングスター:
)war hammer:		ウォーハンマー:
)club:			こん棒:
)rubber hose:		ゴムホース:
)quarterstaff:		六尺棒:
)staff:			棒:
)aklys:			アキリス:
)thonged club:		紐付のこん棒:
)flail:			フレイル:
)bullwhip:		鞭:
#
#	bows
#
)bow:		弓:
)elven bow:	エルフの弓:
)runed bow:	神秘的な弓:
)orcish bow:	オークの弓:
)crude bow:	粗末な弓:
)yumi:		和弓:
)long bow:	長弓:
)sling:		スリング:
)crossbow:	クロスボゥ:
#
#	dummy weapon(for #enhance)
#
)polearms:		長斧:
)saber:			サーベル:
)two weapon combat:	二刀流:
)pick-axe:		つるはし:
)bare handed combat:	素手:
)martial arts:		マーシャルアーツ:
)unicorn horn:		ユニコーンの角:
#
#	armors
#
]elven leather helm:	エルフの革帽子:
]leather hat:		革帽子:
]orcish helm:		オークの兜:
]iron skull cap:	鉄の帽子:
]dwarvish iron helm:	ドワーフの鉄兜:
]hard hat:		固い帽子:
]fedora:		フィドーラ:
]cornuthaum:		とんがり帽子:
]conical hat:		円錐形の帽子:
]dunce cap:		低能帽:
]dented pot:		くぼんだ鍋:
]tinfoil hat:		アルミ箔の帽子:	#SporkHack
]helmet:		兜:
]plumed helmet:		羽兜:
]helm of brilliance:	知性の兜:
]etched helmet:		模様入り兜:
]helm of opposite alignment:	逆属性の兜:
]crested helmet:	とさかの兜:
]helm of telepathy:	テレパシーの兜:
]visored helmet:	面頬付きの兜:
#]gray dragon scale mail:	灰色ドラゴンの鱗鎧:
